city,country,venue,opening_acts,attendance_tickets_sold__available,revenue,tour,attendance_tickets_sold,attendance_tickets_available
Birmingham,United States,BJCC Arena,"Gloriana
Kellie Pickler",0,0,Fearless_Tour,,
Nashville,United States,Bridgestone Arena,"Gloriana
Kellie Pickler",1426914269,642387,Fearless_Tour,"14,269","14,269"
Dallas,United States,American Airlines Center,"Gloriana
Kellie Pickler",1379413794,628062,Fearless_Tour,"13,794","13,794"
North Little Rock,United States,Verizon Arena,"Gloriana
Kellie Pickler",1397813978,654089,Fearless_Tour,"13,978","13,978"
Tulsa,United States,BOK Center,"Gloriana
Kellie Pickler",0,0,Fearless_Tour,,
Pittsburgh,United States,Mellon Arena,"Gloriana
Kellie Pickler",0,0,Fearless_Tour,,
Grand Rapids,United States,Van Andel Arena,"Gloriana
Kellie Pickler",0,0,Fearless_Tour,,
Cleveland,United States,Quicken Loans Arena,"Gloriana
Kellie Pickler",1552415524,743492,Fearless_Tour,"15,524","15,524"
Indianapolis,United States,Conseco Fieldhouse,"Gloriana
Kellie Pickler",1337313373,634876,Fearless_Tour,"13,373","13,373"
Rosemont,United States,Allstate Arena,"Gloriana
Kellie Pickler",2626526265,1150896,Fearless_Tour,"26,265","26,265"
Rosemont,United States,Allstate Arena,"Gloriana
Kellie Pickler",2626526265,1150896,Fearless_Tour,"26,265","26,265"
Minneapolis,United States,Target Center,"Gloriana
Kellie Pickler",1356313563,623975,Fearless_Tour,"13,563","13,563"
London,England,Wembley Arena,Justin Bieber,0,0,Fearless_Tour,,
Manchester,England,Manchester Evening News Arena,Justin Bieber,0,0,Fearless_Tour,,
Brisbane,Australia,Brisbane Entertainment Centre,Gloriana,1133411334,956505,Fearless_Tour,"11,334","11,334"
Sydney,Australia,Acer Arena,Gloriana,2703027030,2030640,Fearless_Tour,"27,030","27,030"
Sydney,Australia,Acer Arena,Gloriana,2703027030,2030640,Fearless_Tour,"27,030","27,030"
Newcastle,Australia,Newcastle Entertainment Centre,Gloriana,71807180,555396,Fearless_Tour,"7,180","7,180"
Melbourne,Australia,Rod Laver Arena,Gloriana,2349323493,1627510,Fearless_Tour,"23,493","23,493"
Melbourne,Australia,Rod Laver Arena,Gloriana,2349323493,1627510,Fearless_Tour,"23,493","23,493"
Adelaide,Australia,Adelaide Entertainment Centre,Gloriana,90669066,585352,Fearless_Tour,"9,066","9,066"
Tokyo,Japan,Zepp Tokyo,,0,0,Fearless_Tour,,
Tampa,United States,St. Pete Times Forum,"Gloriana
Kellie Pickler",1386113861,793049,Fearless_Tour,"13,861","13,861"
Orlando,United States,Amway Arena,"Gloriana
Kellie Pickler",1110111101,598581,Fearless_Tour,"11,101","11,101"
Sunrise,United States,BankAtlantic Center,"Gloriana
Kellie Pickler",1345313453,777442,Fearless_Tour,"13,453","13,453"
Austin,United States,Frank Erwin Center,"Gloriana
Kellie Pickler",1192811928,642705,Fearless_Tour,"11,928","11,928"
Dallas,United States,American Airlines Center,"Gloriana
Kellie Pickler",1402214022,742954,Fearless_Tour,"14,022","14,022"
Corpus Christi,United States,American Bank Center Arena,"Gloriana
Kellie Pickler",84238423,501169,Fearless_Tour,"8,423","8,423"
Philadelphia,United States,Wells Fargo Center,"Gloriana
Kellie Pickler",3036030360,2002321,Fearless_Tour,"30,360","30,360"
Philadelphia,United States,Wells Fargo Center,"Gloriana
Kellie Pickler",3036030360,2002321,Fearless_Tour,"30,360","30,360"
Charlottesville,United States,John Paul Jones Arena,"Gloriana
Kellie Pickler",1185811858,664305,Fearless_Tour,"11,858","11,858"
Auburn Hills,United States,The Palace of Auburn Hills,"Gloriana
Kellie Pickler",2912529125,1711591,Fearless_Tour,"29,125","29,125"
Auburn Hills,United States,The Palace of Auburn Hills,"Gloriana
Kellie Pickler",2912529125,1711591,Fearless_Tour,"29,125","29,125"
Cincinnati,United States,U.S. Bank Arena,"Gloriana
Kellie Pickler",1120811208,645592,Fearless_Tour,"11,208","11,208"
Oklahoma City,United States,Ford Center,"Gloriana
Kellie Pickler",1179511795,675184,Fearless_Tour,"11,795","11,795"
Wichita,United States,Intrust Bank Arena,"Gloriana
Kellie Pickler",1120811208,610801,Fearless_Tour,"11,208","11,208"
Kansas City,United States,Sprint Center,"Gloriana
Kellie Pickler",1378113781,761110,Fearless_Tour,"13,781","13,781"
Denver,United States,Pepsi Center,"Gloriana
Kellie Pickler",2599125991,1497135,Fearless_Tour,"25,991","25,991"
Denver,United States,Pepsi Center,"Gloriana
Kellie Pickler",2599125991,1497135,Fearless_Tour,"25,991","25,991"
Fresno,United States,Save Mart Center,"Gloriana
Kellie Pickler",1170611706,649488,Fearless_Tour,"11,706","11,706"
San Jose,United States,HP Pavilion,"Gloriana
Kellie Pickler",1274412744,716726,Fearless_Tour,"12,744","12,744"
Los Angeles,United States,Staples Center,"Gloriana
Kellie Pickler",2751827518,1736197,Fearless_Tour,"27,518","27,518"
Los Angeles,United States,Staples Center,"Gloriana
Kellie Pickler",2751827518,1736197,Fearless_Tour,"27,518","27,518"
Lexington,United States,Rupp Arena,"Gloriana
Kellie Pickler",1796617966,1024223,Fearless_Tour,"17,966","17,966"
Columbia,United States,Colonial Life Arena,"Gloriana
Kellie Pickler",1342913429,755475,Fearless_Tour,"13,429","13,429"
Raleigh,United States,RBC Center,"Gloriana
Kellie Pickler",1389513895,752303,Fearless_Tour,"13,895","13,895"
Des Moines,United States,Wells Fargo Arena,"Gloriana
Kellie Pickler",1326413264,738280,Fearless_Tour,"13,264","13,264"
Saint Paul,United States,Xcel Energy Center,"Gloriana
Kellie Pickler",1491414914,846111,Fearless_Tour,"14,914","14,914"
Moline,United States,iWireless Center,"Gloriana
Kellie Pickler",1064110641,610668,Fearless_Tour,"10,641","10,641"
Newark,United States,Prudential Center,"Gloriana
Kellie Pickler",2606526065,1742669,Fearless_Tour,"26,065","26,065"
Newark,United States,Prudential Center,"Gloriana
Kellie Pickler",2606526065,1742669,Fearless_Tour,"26,065","26,065"
Uniondale,United States,Nassau Veterans Memorial Coliseum,"Gloriana
Kellie Pickler",2583125831,1713529,Fearless_Tour,"25,831","25,831"
Uniondale,United States,Nassau Veterans Memorial Coliseum,"Gloriana
Kellie Pickler",2583125831,1713529,Fearless_Tour,"25,831","25,831"
Ottawa,Canada,Scotiabank Place,"Gloriana
Kellie Pickler",1337613376,873206,Fearless_Tour,"13,376","13,376"
Toronto,Canada,Air Canada Centre,"Gloriana
Kellie Pickler",3045830458,2497690,Fearless_Tour,"30,458","30,458"
Toronto,Canada,Air Canada Centre,"Gloriana
Kellie Pickler",3045830458,2497690,Fearless_Tour,"30,458","30,458"
Houston,United States,Toyota Center,"Gloriana
Kellie Pickler",2349323493,1290926,Fearless_Tour,"23,493","23,493"
Houston,United States,Toyota Center,"Gloriana
Kellie Pickler",2349323493,1290926,Fearless_Tour,"23,493","23,493"
Baton Rouge,United States,Tiger Stadium,,0,0,Fearless_Tour,,
Washington,United States,Verizon Center,"Gloriana
Kellie Pickler",2729027290,1824743,Fearless_Tour,"27,290","27,290"
Washington,United States,Verizon Center,"Gloriana
Kellie Pickler",2729027290,1824743,Fearless_Tour,"27,290","27,290"
Foxborough,United States,Gillette Stadium,"Gloriana
Justin Bieber
Kellie Pickler",5686856868,3726157,Fearless_Tour,"56,868","56,868"
Nassau,The Bahamas,Imperial Ballroom,"Gloriana
Kellie Pickler",0,0,Fearless_Tour,,
Cavendish,Canada,Cavendish Beach Festival Grounds,,3500035000,0,Fearless_Tour,"35,000","35,000"
Singapore,Singapore,Singapore Indoor Stadium,Sezairi Sezali,89648964,916850,Speak_Now_World_Tour,"8,964","8,964"
Seoul,South Korea,Olympic Gymnastics Arena,,47254725,385374,Speak_Now_World_Tour,"4,725","4,725"
Osaka,Japan,Osaka-Jo Hall,,69536953,758113,Speak_Now_World_Tour,"6,953","6,953"
Tokyo,Japan,Nippon Budokan,,1595515955,1738227,Speak_Now_World_Tour,"15,955","15,955"
Tokyo,Japan,Nippon Budokan,,1595515955,1738227,Speak_Now_World_Tour,"15,955","15,955"
Quezon City,Philippines,Smart Araneta Coliseum,Sam Concepcion,1266712667,859037,Speak_Now_World_Tour,"12,667","12,667"
Hong Kong,Hong Kong,AsiaWorldArena,Saito Johnny,1257312573,1030633,Speak_Now_World_Tour,"12,573","12,573"
Brussels,Belgium,Forest National,Tom Dice,46224622,219212,Speak_Now_World_Tour,"4,622","4,622"
Rotterdam,Netherlands,Sportpaleis van Ahoy,Tom Dice,47994799,248314,Speak_Now_World_Tour,"4,799","4,799"
Oslo,Norway,Oslo Spektrum,,86508650,815246,Speak_Now_World_Tour,"8,650","8,650"
Oberhausen,Germany,König Pilsener Arena,Martin & James,60826082,370028,Speak_Now_World_Tour,"6,082","6,082"
Milan,Italy,Mediolanum Forum,Emma Marrone,34215585,153303,Speak_Now_World_Tour,"3,421","5,585"
Paris,France,Zénith de Paris,,35988500,201781,Speak_Now_World_Tour,"3,598","8,500"
Madrid,Spain,Palacio de los Deportes,The Bright,39623962,251864,Speak_Now_World_Tour,"3,962","3,962"
Birmingham,England,LG Arena,Martin & James,93399339,508854,Speak_Now_World_Tour,"9,339","9,339"
Belfast,Northern Ireland,Odyssey Arena,Ryan Sheridan,80588058,379001,Speak_Now_World_Tour,"8,058","8,058"
Dublin,Ireland,The O2,Ryan Sheridan,86818681,419806,Speak_Now_World_Tour,"8,681","8,681"
Manchester,England,Manchester Evening News Arena,Martin & James,1048811622,580558,Speak_Now_World_Tour,"10,488","11,622"
London,England,The O2 Arena,Martin & James,1526515681,891152,Speak_Now_World_Tour,"15,265","15,681"
Omaha,United States,Qwest Center Omaha,Needtobreathe,2699226992,1717104,Speak_Now_World_Tour,"26,992","26,992"
Omaha,United States,Qwest Center Omaha,Needtobreathe,2699226992,1717104,Speak_Now_World_Tour,"26,992","26,992"
Des Moines,United States,Wells Fargo Arena,Needtobreathe,1314913149,862771,Speak_Now_World_Tour,"13,149","13,149"
Sunrise,United States,BankAtlantic Center,Needtobreathe,2407724077,1582951,Speak_Now_World_Tour,"24,077","24,077"
Sunrise,United States,BankAtlantic Center,Needtobreathe,2407724077,1582951,Speak_Now_World_Tour,"24,077","24,077"
Orlando,United States,Amway Center,Needtobreathe,1226212262,791980,Speak_Now_World_Tour,"12,262","12,262"
Columbus,United States,Nationwide Arena,Needtobreathe,1481714817,955259,Speak_Now_World_Tour,"14,817","14,817"
Milwaukee,United States,Bradley Center,Needtobreathe,1374813748,897042,Speak_Now_World_Tour,"13,748","13,748"
Detroit,United States,Ford Field,Needtobreathe,4799247992,3453549,Speak_Now_World_Tour,"47,992","47,992"
Saint Paul,United States,Xcel Energy Center,Needtobreathe,2897728977,1913737,Speak_Now_World_Tour,"28,977","28,977"
Saint Paul,United States,Xcel Energy Center,Needtobreathe,2897728977,1913737,Speak_Now_World_Tour,"28,977","28,977"
Pittsburgh,United States,Heinz Field,Needtobreathe,5200952009,4009118,Speak_Now_World_Tour,"52,009","52,009"
Buffalo,United States,First Niagara Center,Needtobreathe,1448714487,966749,Speak_Now_World_Tour,"14,487","14,487"
Hartford,United States,XL Center,Needtobreathe,1243612436,810165,Speak_Now_World_Tour,"12,436","12,436"
Foxborough,United States,Gillette Stadium,Needtobreathe,110800110800,8026350,Speak_Now_World_Tour,"110,800","110,800"
Foxborough,United States,Gillette Stadium,Needtobreathe,110800110800,8026350,Speak_Now_World_Tour,"110,800","110,800"
Greensboro,United States,Greensboro Coliseum,Needtobreathe,1478914789,990701,Speak_Now_World_Tour,"14,789","14,789"
Knoxville,United States,ThompsonBoling Arena,Needtobreathe,1375413754,903875,Speak_Now_World_Tour,"13,754","13,754"
Montreal,Canada,Bell Centre,Needtobreathe,1343913439,1254230,Speak_Now_World_Tour,"13,439","13,439"
Toronto,Canada,Air Canada Centre,Needtobreathe,3014430144,3036000,Speak_Now_World_Tour,"30,144","30,144"
Toronto,Canada,Air Canada Centre,Needtobreathe,3014430144,3036000,Speak_Now_World_Tour,"30,144","30,144"
Newark,United States,Prudential Center,Needtobreathe,5148751487,3875463,Speak_Now_World_Tour,"51,487","51,487"
Newark,United States,Prudential Center,Needtobreathe,5148751487,3875463,Speak_Now_World_Tour,"51,487","51,487"
Newark,United States,Prudential Center,Needtobreathe,5148751487,3875463,Speak_Now_World_Tour,"51,487","51,487"
Newark,United States,Prudential Center,Needtobreathe,5148751487,3875463,Speak_Now_World_Tour,"51,487","51,487"
Grand Rapids,United States,Van Andel Arena,Needtobreathe,1101211012,724854,Speak_Now_World_Tour,"11,012","11,012"
Indianapolis,United States,Conseco Fieldhouse,Needtobreathe,1332913329,877175,Speak_Now_World_Tour,"13,329","13,329"
Cleveland,United States,Quicken Loans Arena,Needtobreathe,1487314873,976954,Speak_Now_World_Tour,"14,873","14,873"
Washington,United States,Verizon Center,Needtobreathe,2930329303,2068789,Speak_Now_World_Tour,"29,303","29,303"
Washington,United States,Verizon Center,Needtobreathe,2930329303,2068789,Speak_Now_World_Tour,"29,303","29,303"
Philadelphia,United States,Lincoln Financial Field,Needtobreathe,5139551395,4268678,Speak_Now_World_Tour,"51,395","51,395"
Rosemont,United States,Allstate Arena,Needtobreathe,2611226112,1909603,Speak_Now_World_Tour,"26,112","26,112"
Rosemont,United States,Allstate Arena,Needtobreathe,2611226112,1909603,Speak_Now_World_Tour,"26,112","26,112"
St. Louis,United States,Scottrade Center,Needtobreathe,2796527965,1850159,Speak_Now_World_Tour,"27,965","27,965"
St. Louis,United States,Scottrade Center,Needtobreathe,2796527965,1850159,Speak_Now_World_Tour,"27,965","27,965"
Edmonton,Canada,Rexall Place,Needtobreathe,2533625336,2136270,Speak_Now_World_Tour,"25,336","25,336"
Edmonton,Canada,Rexall Place,Needtobreathe,2533625336,2136270,Speak_Now_World_Tour,"25,336","25,336"
Los Angeles,United States,Staples Center,Needtobreathe,5490054900,3927154,Speak_Now_World_Tour,"54,900","54,900"
Los Angeles,United States,Staples Center,Needtobreathe,5490054900,3927154,Speak_Now_World_Tour,"54,900","54,900"
Los Angeles,United States,Staples Center,Needtobreathe,5490054900,3927154,Speak_Now_World_Tour,"54,900","54,900"
Los Angeles,United States,Staples Center,Needtobreathe,5490054900,3927154,Speak_Now_World_Tour,"54,900","54,900"
San Jose,United States,HP Pavilion,Needtobreathe,2482724827,1825448,Speak_Now_World_Tour,"24,827","24,827"
San Jose,United States,HP Pavilion,Needtobreathe,2482724827,1825448,Speak_Now_World_Tour,"24,827","24,827"
Sacramento,United States,Power Balance Pavilion,Needtobreathe,1243212432,934326,Speak_Now_World_Tour,"12,432","12,432"
Portland,United States,Rose Garden Arena,Needtobreathe,1361013610,903445,Speak_Now_World_Tour,"13,610","13,610"
Tacoma,United States,Tacoma Dome,Needtobreathe,1990419904,1289430,Speak_Now_World_Tour,"19,904","19,904"
Vancouver,Canada,Rogers Arena,Needtobreathe,2603026030,2190680,Speak_Now_World_Tour,"26,030","26,030"
Vancouver,Canada,Rogers Arena,Needtobreathe,2603026030,2190680,Speak_Now_World_Tour,"26,030","26,030"
Nashville,United States,Bridgestone Arena,Needtobreathe,2817828178,1841134,Speak_Now_World_Tour,"28,178","28,178"
Nashville,United States,Bridgestone Arena,Needtobreathe,2817828178,1841134,Speak_Now_World_Tour,"28,178","28,178"
Bossier City,United States,CenturyLink Center,Needtobreathe,1151011510,728546,Speak_Now_World_Tour,"11,510","11,510"
Tulsa,United States,BOK Center,Needtobreathe,1254612546,907573,Speak_Now_World_Tour,"12,546","12,546"
Kansas City,United States,Arrowhead Stadium,Needtobreathe,4856248562,3148046,Speak_Now_World_Tour,"48,562","48,562"
Denver,United States,Pepsi Center,Needtobreathe,1290812908,834916,Speak_Now_World_Tour,"12,908","12,908"
Salt Lake City,United States,EnergySolutions Arena,Needtobreathe,1372013720,896946,Speak_Now_World_Tour,"13,720","13,720"
Atlanta,United States,Philips Arena,Needtobreathe,2624426244,1726661,Speak_Now_World_Tour,"26,244","26,244"
Atlanta,United States,Philips Arena,Needtobreathe,2624426244,1726661,Speak_Now_World_Tour,"26,244","26,244"
North Little Rock,United States,Verizon Arena,Needtobreathe,1356613566,856123,Speak_Now_World_Tour,"13,566","13,566"
New Orleans,United States,New Orleans Arena,Needtobreathe,1294312943,830289,Speak_Now_World_Tour,"12,943","12,943"
Arlington,United States,Cowboys Stadium,Needtobreathe,5545155451,4337062,Speak_Now_World_Tour,"55,451","55,451"
Louisville,United States,KFC Yum! Center,Needtobreathe,1484814848,1003828,Speak_Now_World_Tour,"14,848","14,848"
Lubbock,United States,United Spirit Arena,Needtobreathe,1041910419,710426,Speak_Now_World_Tour,"10,419","10,419"
Oklahoma City,United States,Chesapeake Energy Arena,Needtobreathe,1159211592,758364,Speak_Now_World_Tour,"11,592","11,592"
San Diego,United States,Valley View Casino Center,Needtobreathe,1083410834,792634,Speak_Now_World_Tour,"10,834","10,834"
Glendale,United States,Jobing.com Arena,Needtobreathe,2702927029,1826025,Speak_Now_World_Tour,"27,029","27,029"
Glendale,United States,Jobing.com Arena,Needtobreathe,2702927029,1826025,Speak_Now_World_Tour,"27,029","27,029"
San Antonio,United States,AT&T Center,Needtobreathe,1385113851,901535,Speak_Now_World_Tour,"13,851","13,851"
Austin,United States,Frank Erwin Center,Needtobreathe,1199911999,752078,Speak_Now_World_Tour,"11,999","11,999"
Lexington,United States,Rupp Arena,Needtobreathe,1623716237,1041935,Speak_Now_World_Tour,"16,237","16,237"
Memphis,United States,FedExForum,Needtobreathe,1260412604,820036,Speak_Now_World_Tour,"12,604","12,604"
Houston,United States,Minute Maid Park,Needtobreathe,4209542095,3435756,Speak_Now_World_Tour,"42,095","42,095"
Jacksonville,United States,Jacksonville Veterans Memorial Arena,Needtobreathe,1178511785,749099,Speak_Now_World_Tour,"11,785","11,785"
Tampa,United States,St. Pete Times Forum,Needtobreathe,1369513695,914300,Speak_Now_World_Tour,"13,695","13,695"
Miami,United States,American Airlines Arena,Needtobreathe,1215312153,786904,Speak_Now_World_Tour,"12,153","12,153"
Charlotte,United States,Time Warner Cable Arena,Needtobreathe,1427214272,920903,Speak_Now_World_Tour,"14,272","14,272"
Raleigh,United States,RBC Center,Needtobreathe,1356713567,866056,Speak_Now_World_Tour,"13,567","13,567"
Columbia,United States,Colonial Life Arena,Needtobreathe,1280712807,828231,Speak_Now_World_Tour,"12,807","12,807"
New York,United States,Madison Square Garden,Needtobreathe,2665226652,1988411,Speak_Now_World_Tour,"26,652","26,652"
New York,United States,Madison Square Garden,Needtobreathe,2665226652,1988411,Speak_Now_World_Tour,"26,652","26,652"
Perth,Australia,Burswood Dome,Hot Chelle Rae,1514215142,1878530,Speak_Now_World_Tour,"15,142","15,142"
Adelaide,Australia,Adelaide Entertainment Centre,Hot Chelle Rae,85898589,1075370,Speak_Now_World_Tour,"8,589","8,589"
Brisbane,Australia,Brisbane Entertainment Centre,Hot Chelle Rae,1987019870,2416030,Speak_Now_World_Tour,"19,870","19,870"
Brisbane,Australia,Brisbane Entertainment Centre,Hot Chelle Rae,1987019870,2416030,Speak_Now_World_Tour,"19,870","19,870"
Sydney,Australia,Allphones Arena,Hot Chelle Rae,2790027900,3420360,Speak_Now_World_Tour,"27,900","27,900"
Sydney,Australia,Allphones Arena,Hot Chelle Rae,2790027900,3420360,Speak_Now_World_Tour,"27,900","27,900"
Melbourne,Australia,Rod Laver Arena,Hot Chelle Rae,3379333793,4151650,Speak_Now_World_Tour,"33,793","33,793"
Melbourne,Australia,Rod Laver Arena,Hot Chelle Rae,3379333793,4151650,Speak_Now_World_Tour,"33,793","33,793"
Melbourne,Australia,Rod Laver Arena,Hot Chelle Rae,3379333793,4151650,Speak_Now_World_Tour,"33,793","33,793"
Auckland,New Zealand,Vector Arena,Hot Chelle Rae,3258532585,2888560,Speak_Now_World_Tour,"32,585","32,585"
Auckland,New Zealand,Vector Arena,Hot Chelle Rae,3258532585,2888560,Speak_Now_World_Tour,"32,585","32,585"
Auckland,New Zealand,Vector Arena,Hot Chelle Rae,3258532585,2888560,Speak_Now_World_Tour,"32,585","32,585"
Omaha,United States,CenturyLink Center Omaha,"Ed Sheeran
Brett Eldredge",2787727877,2243164,The_Red_Tour,"27,877","27,877"
Omaha,United States,CenturyLink Center Omaha,"Ed Sheeran
Brett Eldredge",2787727877,2243164,The_Red_Tour,"27,877","27,877"
St. Louis,United States,Scottrade Center,"Ed Sheeran
Brett Eldredge",2858228582,2346203,The_Red_Tour,"28,582","28,582"
St. Louis,United States,Scottrade Center,"Ed Sheeran
Brett Eldredge",2858228582,2346203,The_Red_Tour,"28,582","28,582"
Charlotte,United States,Time Warner Cable Arena,"Ed Sheeran
Brett Eldredge",1468614686,1162733,The_Red_Tour,"14,686","14,686"
Columbia,United States,Colonial Life Arena,"Ed Sheeran
Brett Eldredge",1249012490,996114,The_Red_Tour,"12,490","12,490"
Newark,United States,Prudential Center,"Ed Sheeran
Florida Georgia Line",3806538065,3565317,The_Red_Tour,"38,065","38,065"
Newark,United States,Prudential Center,"Ed Sheeran
Florida Georgia Line",3806538065,3565317,The_Red_Tour,"38,065","38,065"
Newark,United States,Prudential Center,"Ed Sheeran
Florida Georgia Line",3806538065,3565317,The_Red_Tour,"38,065","38,065"
Miami,United States,American Airlines Arena,"Ed Sheeran
Brett Eldredge",1280812808,1010175,The_Red_Tour,"12,808","12,808"
Orlando,United States,Amway Center,"Ed Sheeran
Brett Eldredge",2561725617,2054128,The_Red_Tour,"25,617","25,617"
Orlando,United States,Amway Center,"Ed Sheeran
Brett Eldredge",2561725617,2054128,The_Red_Tour,"25,617","25,617"
Atlanta,United States,Philips Arena,"Ed Sheeran
Brett Eldredge",2547125471,2048023,The_Red_Tour,"25,471","25,471"
Atlanta,United States,Philips Arena,"Ed Sheeran
Brett Eldredge",2547125471,2048023,The_Red_Tour,"25,471","25,471"
Tampa,United States,Tampa Bay Times Forum,"Ed Sheeran
Brett Eldredge",1408014080,1132095,The_Red_Tour,"14,080","14,080"
Cleveland,United States,Quicken Loans Arena,"Ed Sheeran
Brett Eldredge",1533615336,1247605,The_Red_Tour,"15,336","15,336"
Indianapolis,United States,Bankers Life Fieldhouse,"Ed Sheeran
Brett Eldredge",1357313573,1082042,The_Red_Tour,"13,573","13,573"
Lexington,United States,Rupp Arena,"Ed Sheeran
Brett Eldredge",1700317003,1342699,The_Red_Tour,"17,003","17,003"
Detroit,United States,Ford Field,"Ed Sheeran
Austin Mahone
Brett Eldredge",4826548265,3969059,The_Red_Tour,"48,265","48,265"
Louisville,United States,KFC Yum! Center,"Ed Sheeran
Florida Georgia Line",1513515135,1246491,The_Red_Tour,"15,135","15,135"
Columbus,United States,Nationwide Arena,"Ed Sheeran
Florida Georgia Line",1426714267,1155170,The_Red_Tour,"14,267","14,267"
Washington,United States,Verizon Center,"Ed Sheeran
Brett Eldredge",2761927619,2489205,The_Red_Tour,"27,619","27,619"
